   0.0000000E+00   0.0000000E+00   0.0000000E+00
   0.9695781E-03   0.5328524E+00   0.5328519E+00
   0.1939156E-02   0.2106550E+01   0.2317846E+01
   0.2908734E-02   0.4628945E+01   0.4830577E+01
   0.3878313E-02   0.7911538E+01   0.8072433E+01
   0.4847891E-02   0.1167287E+02   0.1180092E+02
   0.5817469E-02   0.1559023E+02   0.1567792E+02
   0.6787047E-02   0.1937260E+02   0.1940394E+02
   0.7756625E-02   0.2281329E+02   0.2281158E+02
   0.8726203E-02   0.2580162E+02   0.2578873E+02
   0.9695781E-02   0.2830179E+02   0.2828174E+02
   0.1066536E-01   0.3031987E+02   0.3028453E+02
   0.1163494E-01   0.3187578E+02   0.3182784E+02
   0.1260452E-01   0.3298731E+02   0.3294231E+02
   0.1357409E-01   0.3366563E+02   0.3361687E+02
   0.1454367E-01   0.3391892E+02   0.3386351E+02
   0.1551325E-01   0.3375998E+02   0.3370442E+02
   0.1648283E-01   0.3321393E+02   0.3316343E+02
   0.1745241E-01   0.3232298E+02   0.3227491E+02
   0.1842198E-01   0.3114613E+02   0.3110362E+02
   0.1939156E-01   0.2975376E+02   0.2972256E+02
   0.2036114E-01   0.2821956E+02   0.2819863E+02
   0.2133072E-01   0.2661376E+02   0.2659968E+02
   0.2230030E-01   0.2499997E+02   0.2499483E+02
   0.2326988E-01   0.2343473E+02   0.2344337E+02
   0.2423945E-01   0.2196646E+02   0.2198068E+02
   0.2520903E-01   0.2063232E+02   0.2064360E+02
   0.2617861E-01   0.1945433E+02   0.1946674E+02
   0.2714819E-01   0.1843776E+02   0.1845368E+02
   0.2811777E-01   0.1757333E+02   0.1759039E+02
   0.2908734E-01   0.1684237E+02   0.1685625E+02
   0.3005692E-01   0.1622260E+02   0.1623225E+02
   0.3102650E-01   0.1569246E+02   0.1569998E+02
   0.3199608E-01   0.1523348E+02   0.1523984E+02
   0.3296566E-01   0.1483095E+02   0.1483559E+02
   0.3393523E-01   0.1447358E+02   0.1447667E+02
   0.3490481E-01   0.1415280E+02   0.1415584E+02
