 # l_c   lmin  lmax   D_l      +dD_l     -dD_l
 147.0   147   147  4307.643   395.904   354.404
 148.0   148   148  3902.039   360.404   322.803
 149.0   149   149  4139.241   380.104   340.103
 150.0   150   150  4707.947   424.304   380.904
 151.0   151   151  4298.743   390.804   350.604
 152.0   152   152  4281.843   388.104   347.803
 153.0   153   153  5243.252   470.205   421.704
 154.0   154   154  3968.240   357.104   320.503
 155.0   155   155  4576.446   409.604   367.604
 156.0   156   156  4393.544   390.704   351.404
 157.0   157   157  4849.148   433.404   389.904
 158.0   158   158  5201.252   456.405   410.504
 159.0   159   159  4780.248   418.404   376.404
 160.0   160   160  4995.150   435.604   391.904
 161.0   161   161  4874.449   426.804   384.504
 162.0   162   162  4273.743   372.304   335.303
 163.0   163   163  4613.646   403.704   363.404
 164.0   164   164  5160.752   444.304   400.404
 165.0   165   165  4644.846   402.704   363.004
 166.0   166   166  5022.750   432.604   389.704
 167.0   167   167  4918.449   423.904   382.804
 168.0   168   168  5272.353   453.005   408.104
 169.0   169   169  4688.147   404.104   364.904
 170.0   170   170  4869.449   416.604   375.704
 171.0   171   171  4759.748   408.004   368.104
 172.0   172   172  5817.858   492.205   443.504
 173.0   173   173  5522.655   461.805   417.304
 174.0   174   174  4872.549   409.304   370.104
 175.0   175   175  5205.852   439.004   396.904
 176.0   176   176  5258.753   438.604   396.704
 177.0   177   177  4929.249   411.804   372.004
 178.0   178   178  5033.050   418.804   379.304
 179.0   179   179  6021.260   494.605   447.504
 180.0   180   180  5028.050   418.104   378.204
 181.0   181   181  4273.243   354.704   321.303
 182.0   182   182  4857.749   401.904   364.104
 183.0   183   183  5165.352   424.904   385.004
 184.0   184   184  5046.150   413.804   374.304
 185.0   185   185  5919.159   481.705   436.404
 186.0   186   186  5437.454   443.704   401.704
 187.0   187   187  4939.249   400.804   363.704
 188.0   188   188  5721.257   460.105   417.904
 189.0   189   189  6065.261   486.105   440.704
 190.0   190   190  5501.255   445.204   404.004
 191.0   191   191  5683.557   454.505   412.304
 192.0   192   192  5788.858   462.805   422.004
 193.0   193   193  5474.855   434.604   395.504
 194.0   194   194  5483.755   436.004   394.904
 195.0   195   195  4726.747   378.404   343.903
 196.0   196   196  5318.753   419.404   381.804
 197.0   197   197  5674.657   446.904   407.104
 198.0   198   198  5651.657   447.104   406.604
 199.0   199   199  5341.753   422.104   384.204
 200.0   200   200  5702.757   447.804   407.304
 201.0   201   201  5638.756   442.404   402.604
 202.0   202   202  5683.757   442.204   402.404
 203.0   203   203  6200.162   478.505   435.804
 204.0   204   204  5470.755   425.904   388.404
 205.0   205   205  5795.358   448.004   407.804
 206.0   206   206  5322.953   413.004   376.104
 207.0   207   207  4993.950   385.904   352.004
 208.0   208   208  5367.954   412.604   376.504
 209.0   209   209  5045.750   389.104   354.204
 210.0   210   210  5858.259   443.904   405.404
 211.0   211   211  5560.956   419.904   383.204
 212.0   212   212  5936.959   454.305   414.104
 213.0   213   213  5752.758   435.504   397.604
 214.0   214   214  5475.055   415.004   378.904
 215.0   215   215  6458.365   482.505   440.604
 216.0   216   216  5636.356   429.604   391.104
 217.0   217   217  5473.955   413.704   376.704
 218.0   218   218  5802.258   432.704   394.804
 219.0   219   219  5558.356   416.304   380.904
 220.0   220   220  6214.962   459.105   419.704
 221.0   221   221  6071.461   452.905   414.404
 222.0   222   222  6301.263   468.105   428.204
 223.0   223   223  5850.859   436.404   398.604
 224.0   224   224  5657.157   418.104   381.704
