2 0.10752E+04 0.46730E-01 0.19173E-05 0.32654E+01
3 0.10161E+04 0.73764E-01 0.38352E-05 0.39875E+01
4 0.95767E+03 0.79919E-01 0.63932E-05 0.40294E+01
5 0.91229E+03 0.67897E-01 0.95920E-05 0.36809E+01
6 0.87972E+03 0.47738E-01 0.13433E-04 0.31609E+01
7 0.85771E+03 0.28910E-01 0.17916E-04 0.26062E+01
8 0.84356E+03 0.16269E-01 0.23043E-04 0.20986E+01
9 0.83549E+03 0.10014E-01 0.28815E-04 0.16772E+01
10 0.83217E+03 0.78313E-02 0.35234E-04 0.13603E+01
11 0.83211E+03 0.71838E-02 0.42302E-04 0.11518E+01
12 0.83560E+03 0.66429E-02 0.50019E-04 0.10459E+01
13 0.84092E+03 0.57596E-02 0.58388E-04 0.10170E+01
14 0.84718E+03 0.50032E-02 0.67411E-04 0.10362E+01
15 0.85472E+03 0.46034E-02 0.77089E-04 0.10861E+01
16 0.86399E+03 0.46316E-02 0.87424E-04 0.11530E+01
17 0.87492E+03 0.49847E-02 0.98419E-04 0.12246E+01
18 0.88656E+03 0.53646E-02 0.11008E-03 0.12920E+01
19 0.89975E+03 0.57167E-02 0.12240E-03 0.13514E+01
20 0.91279E+03 0.61170E-02 0.13538E-03 0.13992E+01
21 0.92606E+03 0.66529E-02 0.14903E-03 0.14419E+01
22 0.93985E+03 0.74690E-02 0.16336E-03 0.14856E+01
23 0.95397E+03 0.85686E-02 0.17835E-03 0.15320E+01
24 0.96848E+03 0.98908E-02 0.19402E-03 0.15814E+01
25 0.98333E+03 0.11432E-01 0.21036E-03 0.16345E+01
26 0.99834E+03 0.13163E-01 0.22737E-03 0.16926E+01
27 0.10138E+04 0.15062E-01 0.24507E-03 0.17518E+01
28 0.10294E+04 0.17138E-01 0.26345E-03 0.18081E+01
29 0.10454E+04 0.19396E-01 0.28250E-03 0.18594E+01
30 0.10616E+04 0.21841E-01 0.30224E-03 0.19024E+01
31 0.10779E+04 0.24452E-01 0.32266E-03 0.19357E+01
32 0.10945E+04 0.27202E-01 0.34376E-03 0.19579E+01
33 0.11115E+04 0.30118E-01 0.36555E-03 0.19662E+01
34 0.11286E+04 0.33252E-01 0.38802E-03 0.19600E+01
35 0.11459E+04 0.36640E-01 0.41118E-03 0.19447E+01
36 0.11633E+04 0.40306E-01 0.43502E-03 0.19248E+01
37 0.11807E+04 0.44222E-01 0.45955E-03 0.18965E+01
38 0.11985E+04 0.48360E-01 0.48477E-03 0.18572E+01
39 0.12167E+04 0.52738E-01 0.51067E-03 0.18083E+01
40 0.12350E+04 0.57386E-01 0.53725E-03 0.17522E+01
41 0.12536E+04 0.62334E-01 0.56452E-03 0.16901E+01
42 0.12721E+04 0.67578E-01 0.59247E-03 0.16196E+01
43 0.12907E+04 0.73109E-01 0.62111E-03 0.15378E+01
44 0.13093E+04 0.78900E-01 0.65043E-03 0.14425E+01
45 0.13283E+04 0.84936E-01 0.68043E-03 0.13315E+01
46 0.13475E+04 0.91208E-01 0.71111E-03 0.12018E+01
47 0.13669E+04 0.97728E-01 0.74247E-03 0.10552E+01
48 0.13864E+04 0.10452E+00 0.77450E-03 0.89780E+00
49 0.14060E+04 0.11158E+00 0.80722E-03 0.73494E+00
50 0.14261E+04 0.11889E+00 0.84061E-03 0.56526E+00
51 0.14462E+04 0.12646E+00 0.87468E-03 0.38548E+00
52 0.14668E+04 0.13434E+00 0.90942E-03 0.19043E+00
53 0.14873E+04 0.14269E+00 0.94483E-03 -0.23667E-01
54 0.15078E+04 0.15146E+00 0.98091E-03 -0.25263E+00
55 0.15284E+04 0.16064E+00 0.10177E-02 -0.49215E+00
56 0.15493E+04 0.17006E+00 0.10551E-02 -0.74408E+00
57 0.15705E+04 0.17963E+00 0.10932E-02 -0.10085E+01
58 0.15920E+04 0.18935E+00 0.11319E-02 -0.12863E+01
59 0.16137E+04 0.19927E+00 0.11714E-02 -0.15784E+01
60 0.16356E+04 0.20945E+00 0.12115E-02 -0.18842E+01
61 0.16579E+04 0.21999E+00 0.12522E-02 -0.22030E+01
62 0.16801E+04 0.23087E+00 0.12937E-02 -0.25356E+01
63 0.17024E+04 0.24206E+00 0.13357E-02 -0.28826E+01
64 0.17251E+04 0.25357E+00 0.13785E-02 -0.32451E+01
65 0.17478E+04 0.26536E+00 0.14219E-02 -0.36235E+01
