    2   0.1171986E+04   0.5387425E-01   0.1654170E-05   0.3646934E+01  -0.3676264E+04  -0.5260242E+01
    3   0.5518956E+03   0.4673600E-01   0.1673865E-05   0.2314694E+01  -0.1858606E+04  -0.1378670E+01
    4   0.3110380E+03   0.3333542E-01   0.1659134E-05   0.1451693E+01  -0.1093992E+04  -0.4810501E+00
    5   0.1967770E+03   0.2084692E-01   0.1640830E-05   0.9129736E+00  -0.7106403E+03  -0.1943122E+00
    6   0.1349599E+03   0.1165362E-01   0.1643292E-05   0.5778753E+00  -0.4942676E+03  -0.8601207E-01
    7   0.9823782E+02   0.5886220E-02   0.1641955E-05   0.3680023E+00  -0.3613242E+03  -0.4061677E-01
    8   0.7484320E+02   0.2751282E-02   0.1646390E-05   0.2359599E+00  -0.2742761E+03  -0.2019941E-01
    9   0.5909122E+02   0.1292295E-02   0.1649790E-05   0.1530426E+00  -0.2143900E+03  -0.1050925E-01
   10   0.4800941E+02   0.6888817E-03   0.1648733E-05   0.1012550E+00  -0.1715327E+03  -0.5772791E-02
   11   0.3992137E+02   0.4671305E-03   0.1656823E-05   0.6960504E-01  -0.1398541E+03  -0.3347539E-02
   12   0.3383451E+02   0.3765634E-03   0.1643870E-05   0.5070082E-01  -0.1158055E+03  -0.2072366E-02
   13   0.2913119E+02   0.3002538E-03   0.1642734E-05   0.3979062E-01  -0.9713377E+02  -0.1368845E-02
   14   0.2541849E+02   0.2320163E-03   0.1647180E-05   0.3361287E-01  -0.8236001E+02  -0.9739842E-03
   15   0.2243283E+02   0.1803852E-03   0.1650717E-05   0.3006782E-01  -0.7047784E+02  -0.7436003E-03
   16   0.1999184E+02   0.1476830E-03   0.1655288E-05   0.2786813E-01  -0.6078357E+02  -0.5933578E-03
   17   0.1796850E+02   0.1282511E-03   0.1656040E-05   0.2631256E-01  -0.5277677E+02  -0.4899153E-03
   18   0.1627088E+02   0.1167078E-03   0.1657643E-05   0.2497422E-01  -0.4609182E+02  -0.4156233E-03
   19   0.1483077E+02   0.1096606E-03   0.1659221E-05   0.2361972E-01  -0.4045633E+02  -0.3590835E-03
   20   0.1359750E+02   0.1057163E-03   0.1661438E-05   0.2225474E-01  -0.3566489E+02  -0.3148292E-03
   21   0.1253225E+02   0.1040744E-03   0.1663694E-05   0.2091871E-01  -0.3155977E+02  -0.2794711E-03
   22   0.1160485E+02   0.1041527E-03   0.1667220E-05   0.1963765E-01  -0.2801806E+02  -0.2505072E-03
   23   0.1079157E+02   0.1055129E-03   0.1667782E-05   0.1842981E-01  -0.2494304E+02  -0.2261649E-03
   24   0.1007384E+02   0.1081150E-03   0.1666067E-05   0.1731134E-01  -0.2225816E+02  -0.2054368E-03
   25   0.9436751E+01   0.1118480E-03   0.1666233E-05   0.1629361E-01  -0.1990193E+02  -0.1876152E-03
