     2    0.79869E+03    0.17379E-01    0.62347E-05    0.27241E+01
     3    0.78435E+03    0.37566E-01    0.12471E-04    0.34753E+01
     4    0.77187E+03    0.57024E-01    0.20787E-04    0.38247E+01
     5    0.76176E+03    0.70062E-01    0.31186E-04    0.38782E+01
     6    0.75388E+03    0.74069E-01    0.43669E-04    0.37383E+01
     7    0.74858E+03    0.69518E-01    0.58239E-04    0.34839E+01
     8    0.74573E+03    0.58967E-01    0.74898E-04    0.31752E+01
     9    0.74504E+03    0.45761E-01    0.93649E-04    0.28530E+01
    10    0.74607E+03    0.32931E-01    0.11450E-03    0.25416E+01
    11    0.74852E+03    0.22511E-01    0.13744E-03    0.22562E+01
    12    0.75322E+03    0.15512E-01    0.16249E-03    0.20068E+01
    13    0.75856E+03    0.11333E-01    0.18964E-03    0.18005E+01
    14    0.76376E+03    0.96268E-02    0.21891E-03    0.16417E+01
    15    0.76962E+03    0.94186E-02    0.25029E-03    0.15327E+01
    16    0.77696E+03    0.96807E-02    0.28378E-03    0.14746E+01
    17    0.78557E+03    0.10034E-01    0.31940E-03    0.14606E+01
    18    0.79430E+03    0.10149E-01    0.35715E-03    0.14837E+01
    19    0.80405E+03    0.10098E-01    0.39702E-03    0.15374E+01
    20    0.81326E+03    0.10100E-01    0.43903E-03    0.16124E+01
    21    0.82227E+03    0.10307E-01    0.48317E-03    0.17022E+01
    22    0.83136E+03    0.10906E-01    0.52945E-03    0.18004E+01
    23    0.84040E+03    0.11932E-01    0.57788E-03    0.19018E+01
    24    0.84950E+03    0.13333E-01    0.62844E-03    0.20018E+01
    25    0.85866E+03    0.15029E-01    0.68116E-03    0.20968E+01
    26    0.86771E+03    0.16903E-01    0.73602E-03    0.21853E+01
    27    0.87686E+03    0.18892E-01    0.79303E-03    0.22649E+01
    28    0.88590E+03    0.20985E-01    0.85218E-03    0.23351E+01
    29    0.89499E+03    0.23207E-01    0.91349E-03    0.23966E+01
    30    0.90409E+03    0.25609E-01    0.97694E-03    0.24497E+01
    31    0.91298E+03    0.28262E-01    0.10425E-02    0.24951E+01
    32    0.92178E+03    0.31225E-01    0.11103E-02    0.25340E+01
    33    0.93055E+03    0.34523E-01    0.11802E-02    0.25673E+01
    34    0.93922E+03    0.38176E-01    0.12522E-02    0.25966E+01
    35    0.94792E+03    0.42161E-01    0.13264E-02    0.26224E+01
    36    0.95665E+03    0.46457E-01    0.14027E-02    0.26443E+01
    37    0.96524E+03    0.51053E-01    0.14811E-02    0.26602E+01
    38    0.97378E+03    0.55947E-01    0.15616E-02    0.26704E+01
    39    0.98233E+03    0.61139E-01    0.16443E-02    0.26748E+01
    40    0.99074E+03    0.66638E-01    0.17291E-02    0.26733E+01
    41    0.99924E+03    0.72452E-01    0.18160E-02    0.26651E+01
    42    0.10076E+04    0.78585E-01    0.19050E-02    0.26485E+01
