  # ell             TT              EE              BB               TE 
   82   0.2170979E+04   0.4993134E+00   0.2270932E-02  -0.1179850E+02
   83   0.2198131E+04   0.5144779E+00   0.2326815E-02  -0.1237394E+02
   84   0.2225521E+04   0.5297351E+00   0.2383540E-02  -0.1295778E+02
   85   0.2253146E+04   0.5450691E+00   0.2441088E-02  -0.1354956E+02
   86   0.2281006E+04   0.5604660E+00   0.2499079E-02  -0.1414891E+02
   87   0.2309104E+04   0.5759247E+00   0.2557757E-02  -0.1475540E+02
   88   0.2337437E+04   0.5914172E+00   0.2617182E-02  -0.1536862E+02
   89   0.2366003E+04   0.6069482E+00   0.2677231E-02  -0.1598820E+02
   90   0.2394805E+04   0.6224796E+00   0.2738231E-02  -0.1661369E+02
   91   0.2423838E+04   0.6380151E+00   0.2799408E-02  -0.1724471E+02
   92   0.2453108E+04   0.6535572E+00   0.2861680E-02  -0.1788080E+02
   93   0.2482605E+04   0.6690595E+00   0.2924766E-02  -0.1852156E+02
   94   0.2512330E+04   0.6845243E+00   0.2988752E-02  -0.1916640E+02
   95   0.2542275E+04   0.6999107E+00   0.3052841E-02  -0.1981487E+02
   96   0.2572442E+04   0.7152717E+00   0.3117647E-02  -0.2046653E+02
   97   0.2602822E+04   0.7305219E+00   0.3183721E-02  -0.2112085E+02
   98   0.2633415E+04   0.7456838E+00   0.3250326E-02  -0.2177730E+02
   99   0.2664215E+04   0.7607260E+00   0.3317966E-02  -0.2243539E+02
  100   0.2695219E+04   0.7756303E+00   0.3385798E-02  -0.2309468E+02
  101   0.2726424E+04   0.7904222E+00   0.3454519E-02  -0.2375470E+02
  102   0.2757827E+04   0.8050358E+00   0.3524493E-02  -0.2441489E+02
  103   0.2789421E+04   0.8194671E+00   0.3594542E-02  -0.2507478E+02
  104   0.2821207E+04   0.8337484E+00   0.3665526E-02  -0.2573387E+02
  105   0.2853177E+04   0.8478077E+00   0.3737761E-02  -0.2639174E+02
  106   0.2885331E+04   0.8616593E+00   0.3810539E-02  -0.2704778E+02
  107   0.2917662E+04   0.8752721E+00   0.3884394E-02  -0.2770158E+02
  108   0.2950166E+04   0.8886345E+00   0.3958405E-02  -0.2835254E+02
  109   0.2982835E+04   0.9017683E+00   0.4033090E-02  -0.2900016E+02
  110   0.3015664E+04   0.9146330E+00   0.4109304E-02  -0.2964385E+02
  111   0.3048645E+04   0.9272059E+00   0.4185985E-02  -0.3028304E+02
  112   0.3081772E+04   0.9394845E+00   0.4263539E-02  -0.3091721E+02
  113   0.3115040E+04   0.9514709E+00   0.4341909E-02  -0.3154581E+02
  114   0.3148441E+04   0.9631430E+00   0.4420465E-02  -0.3216826E+02
  115   0.3181970E+04   0.9744988E+00   0.4502048E-02  -0.3278411E+02
  116   0.3215616E+04   0.9854615E+00   0.4581935E-02  -0.3339245E+02
  117   0.3249377E+04   0.9961096E+00   0.4664171E-02  -0.3399317E+02
  118   0.3283248E+04   0.1006395E+01   0.4746239E-02  -0.3458555E+02
  119   0.3317219E+04   0.1016295E+01   0.4828955E-02  -0.3516900E+02
  120   0.3351284E+04   0.1025811E+01   0.4915453E-02  -0.3574296E+02
  121   0.3385436E+04   0.1034898E+01   0.4998122E-02  -0.3630695E+02
  122   0.3419670E+04   0.1043591E+01   0.5086530E-02  -0.3686037E+02
  123   0.3453977E+04   0.1051862E+01   0.5170657E-02  -0.3740263E+02
  124   0.3488350E+04   0.1059706E+01   0.5260359E-02  -0.3793335E+02
  125   0.3522776E+04   0.1067113E+01   0.5348520E-02  -0.3845183E+02
  126   0.3557252E+04   0.1074095E+01   0.5438830E-02  -0.3895777E+02
  127   0.3591764E+04   0.1080623E+01   0.5529773E-02  -0.3945043E+02
  128   0.3626308E+04   0.1086699E+01   0.5621457E-02  -0.3992941E+02
  129   0.3660871E+04   0.1092308E+01   0.5713226E-02  -0.4039415E+02
  130   0.3695450E+04   0.1097492E+01   0.5807778E-02  -0.4084413E+02
  131   0.3730031E+04   0.1102186E+01   0.5900609E-02  -0.4127881E+02
  132   0.3764608E+04   0.1106409E+01   0.5996501E-02  -0.4169771E+02
  133   0.3799172E+04   0.1110157E+01   0.6092853E-02  -0.4210024E+02
  134   0.3833715E+04   0.1113421E+01   0.6187600E-02  -0.4248589E+02
  135   0.3868228E+04   0.1116217E+01   0.6290751E-02  -0.4285432E+02
  136   0.3902703E+04   0.1118500E+01   0.6384955E-02  -0.4320476E+02
  137   0.3937129E+04   0.1120279E+01   0.6489948E-02  -0.4353673E+02
  138   0.3971498E+04   0.1121548E+01   0.6588566E-02  -0.4384977E+02
  139   0.4005805E+04   0.1122363E+01   0.6690389E-02  -0.4414367E+02
  140   0.4040035E+04   0.1122647E+01   0.6796605E-02  -0.4441772E+02
  141   0.4074178E+04   0.1122437E+01   0.6897793E-02  -0.4467175E+02
  142   0.4108227E+04   0.1121750E+01   0.7005828E-02  -0.4490531E+02
  143   0.4142168E+04   0.1120573E+01   0.7110550E-02  -0.4511804E+02
  144   0.4175997E+04   0.1118958E+01   0.7217883E-02  -0.4530956E+02
  145   0.4209699E+04   0.1116836E+01   0.7327531E-02  -0.4547956E+02
  146   0.4243267E+04   0.1114246E+01   0.7435920E-02  -0.4562754E+02
  147   0.4276690E+04   0.1111224E+01   0.7546957E-02  -0.4575321E+02
  148   0.4309957E+04   0.1107727E+01   0.7658491E-02  -0.4585618E+02
  149   0.4343060E+04   0.1103791E+01   0.7771118E-02  -0.4593611E+02
  150   0.4375989E+04   0.1099409E+01   0.7885388E-02  -0.4599246E+02
  151   0.4408731E+04   0.1094548E+01   0.7999921E-02  -0.4602505E+02
  152   0.4441281E+04   0.1089301E+01   0.8115601E-02  -0.4603345E+02
  153   0.4473625E+04   0.1083612E+01   0.8232722E-02  -0.4601724E+02
  154   0.4505757E+04   0.1077492E+01   0.8351109E-02  -0.4597611E+02
  155   0.4537663E+04   0.1070931E+01   0.8469841E-02  -0.4590978E+02
  156   0.4569337E+04   0.1064040E+01   0.8590030E-02  -0.4581828E+02
  157   0.4600765E+04   0.1056728E+01   0.8710710E-02  -0.4570127E+02
  158   0.4631946E+04   0.1049114E+01   0.8833393E-02  -0.4555854E+02
  159   0.4662858E+04   0.1041088E+01   0.8957197E-02  -0.4539006E+02
  160   0.4693504E+04   0.1032788E+01   0.9081058E-02  -0.4519557E+02
  161   0.4723865E+04   0.1024186E+01   0.9207042E-02  -0.4497495E+02
  162   0.4753934E+04   0.1015283E+01   0.9333271E-02  -0.4472791E+02
  163   0.4783704E+04   0.1006110E+01   0.9461527E-02  -0.4445446E+02
  164   0.4813161E+04   0.9967008E+00   0.9590353E-02  -0.4415437E+02
  165   0.4842302E+04   0.9870275E+00   0.9720224E-02  -0.4382731E+02
  166   0.4871112E+04   0.9771677E+00   0.9850758E-02  -0.4347335E+02
  167   0.4899581E+04   0.9671032E+00   0.9983562E-02  -0.4309217E+02
  168   0.4927701E+04   0.9568528E+00   0.1011791E-01  -0.4268360E+02
  169   0.4955466E+04   0.9464274E+00   0.1025199E-01  -0.4224757E+02
  170   0.4982859E+04   0.9358611E+00   0.1038769E-01  -0.4178381E+02
  171   0.5009879E+04   0.9251727E+00   0.1052427E-01  -0.4129226E+02
  172   0.5036506E+04   0.9143765E+00   0.1066168E-01  -0.4077291E+02
  173   0.5062745E+04   0.9035141E+00   0.1080185E-01  -0.4022592E+02
  174   0.5088584E+04   0.8926107E+00   0.1094191E-01  -0.3965127E+02
  175   0.5114010E+04   0.8816875E+00   0.1108291E-01  -0.3904909E+02
  176   0.5139019E+04   0.8707727E+00   0.1122509E-01  -0.3841952E+02
  177   0.5163600E+04   0.8598956E+00   0.1136820E-01  -0.3776257E+02
  178   0.5187751E+04   0.8491096E+00   0.1151267E-01  -0.3707825E+02
  179   0.5211458E+04   0.8384321E+00   0.1165797E-01  -0.3636685E+02
  180   0.5234718E+04   0.8278977E+00   0.1180460E-01  -0.3562829E+02
  181   0.5257515E+04   0.8174415E+00   0.1195230E-01  -0.3486270E+02
  182   0.5279852E+04   0.8072897E+00   0.1210090E-01  -0.3407022E+02
  183   0.5301711E+04   0.7972719E+00   0.1225067E-01  -0.3325085E+02
  184   0.5323092E+04   0.7875202E+00   0.1240039E-01  -0.3240470E+02
  185   0.5343981E+04   0.7780866E+00   0.1255337E-01  -0.3153188E+02
  186   0.5364372E+04   0.7688872E+00   0.1270776E-01  -0.3063246E+02
  187   0.5384258E+04   0.7600974E+00   0.1286090E-01  -0.2970660E+02
  188   0.5403633E+04   0.7516456E+00   0.1301448E-01  -0.2875427E+02
  189   0.5422485E+04   0.7435266E+00   0.1317055E-01  -0.2777578E+02
  190   0.5440817E+04   0.7359234E+00   0.1332790E-01  -0.2677171E+02
  191   0.5458617E+04   0.7287461E+00   0.1348662E-01  -0.2574221E+02
  192   0.5475886E+04   0.7221176E+00   0.1364471E-01  -0.2468767E+02
  193   0.5492613E+04   0.7159905E+00   0.1380447E-01  -0.2360856E+02
  194   0.5508795E+04   0.7104318E+00   0.1396466E-01  -0.2250502E+02
  195   0.5524429E+04   0.7055572E+00   0.1412868E-01  -0.2137765E+02
  196   0.5539509E+04   0.7013009E+00   0.1429311E-01  -0.2022659E+02
  197   0.5554026E+04   0.6976703E+00   0.1445525E-01  -0.1905227E+02
  198   0.5567977E+04   0.6948024E+00   0.1461770E-01  -0.1785522E+02
  199   0.5581361E+04   0.6927306E+00   0.1478344E-01  -0.1663549E+02
  200   0.5594169E+04   0.6914231E+00   0.1495003E-01  -0.1539358E+02
  201   0.5606398E+04   0.6909794E+00   0.1511709E-01  -0.1412990E+02
  202   0.5618035E+04   0.6913485E+00   0.1528524E-01  -0.1284467E+02
  203   0.5629082E+04   0.6926194E+00   0.1545370E-01  -0.1153836E+02
  204   0.5639539E+04   0.6948885E+00   0.1562306E-01  -0.1021128E+02
  205   0.5649391E+04   0.6980975E+00   0.1579323E-01  -0.8863830E+01
  206   0.5658640E+04   0.7023182E+00   0.1596445E-01  -0.7496286E+01
  207   0.5667275E+04   0.7075859E+00   0.1613690E-01  -0.6109311E+01
  208   0.5675302E+04   0.7139517E+00   0.1631017E-01  -0.4703495E+01
  209   0.5682723E+04   0.7214298E+00   0.1648388E-01  -0.3279247E+01
  210   0.5689530E+04   0.7300457E+00   0.1665722E-01  -0.1837321E+01
  211   0.5695719E+04   0.7398465E+00   0.1683301E-01  -0.3782222E+00
  212   0.5701304E+04   0.7509072E+00   0.1700910E-01   0.1097568E+01
  213   0.5706263E+04   0.7631965E+00   0.1718590E-01   0.2589286E+01
  214   0.5710613E+04   0.7768278E+00   0.1736367E-01   0.4096430E+01
  215   0.5714334E+04   0.7916891E+00   0.1754043E-01   0.5618450E+01
  216   0.5717443E+04   0.8080187E+00   0.1771761E-01   0.7154799E+01
  217   0.5719928E+04   0.8257602E+00   0.1789747E-01   0.8704790E+01
  218   0.5721788E+04   0.8449049E+00   0.1807764E-01   0.1026801E+02
  219   0.5723023E+04   0.8655089E+00   0.1825857E-01   0.1184374E+02
  220   0.5723636E+04   0.8876116E+00   0.1843756E-01   0.1343145E+02
  221   0.5723620E+04   0.9113708E+00   0.1861934E-01   0.1503042E+02
  222   0.5722977E+04   0.9366317E+00   0.1880109E-01   0.1664035E+02
  223   0.5721701E+04   0.9635209E+00   0.1898369E-01   0.1826049E+02
  224   0.5719792E+04   0.9920182E+00   0.1916621E-01   0.1989031E+02
  225   0.5717261E+04   0.1022290E+01   0.1934860E-01   0.2152905E+02
  226   0.5714103E+04   0.1054235E+01   0.1953345E-01   0.2317601E+02
  227   0.5710318E+04   0.1087875E+01   0.1971698E-01   0.2483050E+02
  228   0.5705914E+04   0.1123312E+01   0.1990128E-01   0.2649183E+02
  229   0.5700891E+04   0.1160517E+01   0.2008626E-01   0.2815919E+02
  230   0.5695256E+04   0.1199565E+01   0.2027110E-01   0.2983189E+02
  231   0.5689005E+04   0.1240473E+01   0.2045693E-01   0.3150934E+02
  232   0.5682141E+04   0.1283131E+01   0.2064273E-01   0.3319067E+02
  233   0.5674673E+04   0.1327805E+01   0.2082787E-01   0.3487517E+02
  234   0.5666599E+04   0.1374352E+01   0.2101512E-01   0.3656225E+02
  235   0.5657923E+04   0.1422838E+01   0.2120091E-01   0.3825105E+02
  236   0.5648648E+04   0.1473320E+01   0.2138693E-01   0.3994092E+02
  237   0.5638770E+04   0.1525774E+01   0.2157642E-01   0.4163123E+02
  238   0.5628304E+04   0.1580265E+01   0.2175902E-01   0.4332111E+02
  239   0.5617245E+04   0.1636843E+01   0.2195085E-01   0.4500977E+02
  240   0.5605595E+04   0.1695432E+01   0.2213725E-01   0.4669675E+02
  241   0.5593355E+04   0.1756139E+01   0.2232027E-01   0.4838143E+02
  242   0.5580539E+04   0.1819016E+01   0.2251825E-01   0.5006260E+02
  243   0.5567133E+04   0.1883965E+01   0.2269266E-01   0.5174014E+02
  244   0.5553160E+04   0.1951161E+01   0.2289060E-01   0.5341270E+02
  245   0.5538613E+04   0.2020473E+01   0.2307475E-01   0.5507990E+02
  246   0.5523508E+04   0.2091972E+01   0.2325420E-01   0.5674092E+02
  247   0.5507846E+04   0.2165692E+01   0.2345863E-01   0.5839523E+02
  248   0.5491635E+04   0.2241547E+01   0.2362929E-01   0.6004169E+02
  249   0.5474879E+04   0.2319602E+01   0.2382290E-01   0.6168006E+02
  250   0.5457594E+04   0.2399923E+01   0.2400927E-01   0.6330913E+02
  251   0.5439774E+04   0.2482408E+01   0.2419538E-01   0.6492854E+02
  252   0.5421433E+04   0.2567113E+01   0.2438967E-01   0.6653738E+02
  253   0.5402576E+04   0.2654039E+01   0.2457119E-01   0.6813491E+02
  254   0.5383206E+04   0.2743180E+01   0.2475821E-01   0.6972041E+02
  255   0.5363337E+04   0.2834632E+01   0.2494522E-01   0.7129318E+02
  256   0.5342971E+04   0.2928249E+01   0.2513032E-01   0.7285265E+02
  257   0.5322113E+04   0.3024180E+01   0.2531946E-01   0.7439761E+02
  258   0.5300766E+04   0.3122271E+01   0.2549987E-01   0.7592818E+02
  259   0.5278947E+04   0.3222703E+01   0.2568576E-01   0.7744243E+02
  260   0.5256664E+04   0.3325448E+01   0.2587661E-01   0.7894054E+02
  261   0.5233907E+04   0.3430404E+01   0.2605278E-01   0.8042164E+02
  262   0.5210697E+04   0.3537656E+01   0.2624487E-01   0.8188479E+02
  263   0.5187032E+04   0.3647201E+01   0.2642647E-01   0.8332935E+02
  264   0.5162930E+04   0.3759009E+01   0.2660260E-01   0.8475487E+02
  265   0.5138391E+04   0.3873092E+01   0.2680019E-01   0.8616046E+02
  266   0.5113436E+04   0.3989441E+01   0.2697076E-01   0.8754544E+02
  267   0.5088059E+04   0.4107903E+01   0.2715981E-01   0.8890972E+02
  268   0.5062283E+04   0.4228667E+01   0.2734207E-01   0.9025229E+02
