       2   0.9276799E-04   0.9857383E+00   0.8501554E+00
       3   0.3655876E-03   0.9598773E+00   0.8413972E+00
       4   0.1027725E-02   0.9477397E+00   0.8314743E+00
       5   0.2314412E-02   0.9224219E+00   0.8196270E+00
       6   0.4515347E-02   0.8943831E+00   0.8066267E+00
       7   0.7993588E-02   0.8692599E+00   0.7959857E+00
       8   0.1272260E-01   0.8213429E+00   0.7777693E+00
       9   0.2011840E-01   0.7993597E+00   0.7689961E+00
      10   0.2924816E-01   0.7506594E+00   0.7510628E+00
      11   0.4072319E-01   0.7092249E+00   0.7348797E+00
      12   0.5596037E-01   0.6679471E+00   0.7187917E+00
      13   0.7339181E-01   0.6277640E+00   0.6971176E+00
      14   0.9457348E-01   0.5869054E+00   0.6705752E+00
      15   0.1183971E+00   0.5551266E+00   0.6489350E+00
      16   0.1473779E+00   0.5213033E+00   0.6146313E+00
      17   0.1790768E+00   0.4858612E+00   0.5885807E+00
      18   0.2120923E+00   0.4537994E+00   0.5431483E+00
      19   0.2490925E+00   0.4199576E+00   0.5020339E+00
      20   0.2903621E+00   0.3991192E+00   0.4572901E+00
      21   0.3310790E+00   0.3773402E+00   0.4120832E+00
      22   0.3788359E+00   0.3567759E+00   0.3597065E+00
      23   0.4281073E+00   0.3382472E+00   0.3128026E+00
      24   0.4755896E+00   0.3237014E+00   0.2560796E+00
      25   0.5264699E+00   0.3126356E+00   0.2023177E+00
      26   0.5759424E+00   0.3017426E+00   0.1436409E+00
      27   0.6236085E+00   0.2947782E+00   0.9210977E-01
      28   0.6752695E+00   0.2876737E+00   0.4534289E-01
      29   0.7254181E+00   0.2835204E+00  -0.9362313E-02
      30   0.7758607E+00   0.2782360E+00  -0.5350936E-01
      31   0.8143723E+00   0.2743808E+00  -0.9704377E-01
      32   0.8601452E+00   0.2743254E+00  -0.1423459E+00
      33   0.8990410E+00   0.2685938E+00  -0.1739110E+00
      34   0.9405238E+00   0.2650332E+00  -0.2028355E+00
      35   0.9753960E+00   0.2625246E+00  -0.2275939E+00
      36   0.1004809E+01   0.2578913E+00  -0.2531964E+00
      37   0.1025121E+01   0.2513870E+00  -0.2742540E+00
      38   0.1054099E+01   0.2480337E+00  -0.2901426E+00
      39   0.1066526E+01   0.2378168E+00  -0.3029448E+00
      40   0.1080436E+01   0.2273586E+00  -0.3102997E+00
      41   0.1091314E+01   0.2147399E+00  -0.3159224E+00
      42   0.1097993E+01   0.2039755E+00  -0.3183852E+00
      43   0.1104549E+01   0.1898441E+00  -0.3193813E+00
      44   0.1094547E+01   0.1758274E+00  -0.3145292E+00
      45   0.1097052E+01   0.1577197E+00  -0.3080489E+00
      46   0.1092133E+01   0.1410461E+00  -0.2919392E+00
      47   0.1061178E+01   0.1056331E+00  -0.2511951E+00
      48   0.1056720E+01   0.9255394E-01  -0.2385690E+00
      49   0.1036772E+01   0.6986559E-01  -0.2025493E+00
      50   0.1056885E+01   0.8462389E-01  -0.2362197E+00
      51   0.1062114E+01   0.8679937E-01  -0.2456599E+00
      52   0.1082128E+01   0.1032877E+00  -0.2758451E+00
      53   0.1081897E+01   0.1067776E+00  -0.2803228E+00
      54   0.1089371E+01   0.1105407E+00  -0.2878878E+00
      55   0.1086124E+01   0.1116440E+00  -0.2885679E+00
      56   0.1089123E+01   0.1124725E+00  -0.2869621E+00
      57   0.1091588E+01   0.1130797E+00  -0.2855193E+00
      58   0.1083095E+01   0.1131608E+00  -0.2838347E+00
      59   0.1084780E+01   0.1124379E+00  -0.2775209E+00
      60   0.1083808E+01   0.1115978E+00  -0.2761255E+00
      61   0.1075195E+01   0.1089057E+00  -0.2688311E+00
      62   0.1063726E+01   0.1074818E+00  -0.2625860E+00
      63   0.1067592E+01   0.1059812E+00  -0.2575795E+00
      64   0.1059449E+01   0.1044551E+00  -0.2490150E+00
      65   0.1056252E+01   0.1017500E+00  -0.2446755E+00
      66   0.1054819E+01   0.1009150E+00  -0.2439468E+00
      67   0.1052658E+01   0.9773168E-01  -0.2332644E+00
      68   0.1048577E+01   0.9727087E-01  -0.2314795E+00
      69   0.1047346E+01   0.9549880E-01  -0.2252855E+00
      70   0.1044606E+01   0.9397176E-01  -0.2203781E+00
      71   0.1044595E+01   0.9327456E-01  -0.2207477E+00
      72   0.1041753E+01   0.9183809E-01  -0.2150218E+00
      73   0.1041944E+01   0.9098652E-01  -0.2147342E+00
      74   0.1043876E+01   0.9085103E-01  -0.2167271E+00
      75   0.1047329E+01   0.9012762E-01  -0.2160332E+00
      76   0.1045869E+01   0.9001966E-01  -0.2169034E+00
      77   0.1049220E+01   0.9019434E-01  -0.2218134E+00
      78   0.1049944E+01   0.9025085E-01  -0.2207687E+00
      79   0.1049066E+01   0.8996804E-01  -0.2238961E+00
      80   0.1054410E+01   0.9107222E-01  -0.2297686E+00
