   0.2000000E+01    2    2   0.2422020E+03   0.5636060E+03   0.1401010E+03
   0.3000000E+01    3    3   0.8862090E+03   0.1144911E+04   0.4242040E+03
   0.4000000E+01    4    4   0.7281070E+03   0.6970070E+03   0.3079030E+03
   0.5000000E+01    5    5   0.1391614E+04   0.1066911E+04   0.5300050E+03
   0.6000000E+01    6    6   0.5426050E+03   0.3579040E+03   0.1918020E+03
   0.7000000E+01    7    7   0.1122711E+04   0.6472060E+03   0.3673040E+03
   0.8000000E+01    8    8   0.6570070E+03   0.3405030E+03   0.2020020E+03
   0.9000000E+01    9    9   0.6490060E+03   0.3109030E+03   0.1911020E+03
   0.1000000E+02   10   10   0.8747090E+03   0.3857040E+03   0.2441020E+03
   0.1100000E+02   11   11   0.9860100E+03   0.4039040E+03   0.2622030E+03
   0.1200000E+02   12   12   0.7831080E+03   0.3039030E+03   0.2015020E+03
   0.1300000E+02   13   13   0.6787070E+03   0.2501030E+03   0.1687020E+03
   0.1400000E+02   14   14   0.8245080E+03   0.2865030E+03   0.1965020E+03
   0.1500000E+02   15   15   0.8774090E+03   0.2918030E+03   0.2031020E+03
   0.1600000E+02   16   16   0.7039070E+03   0.2309020E+03   0.1625020E+03
   0.1700000E+02   17   17   0.8812090E+03   0.2720030E+03   0.1938020E+03
   0.1800000E+02   18   18   0.6800070E+03   0.2040020E+03   0.1468010E+03
   0.1900000E+02   19   19   0.8418080E+03   0.2444020E+03   0.1776020E+03
   0.2000000E+02   20   20   0.7633080E+03   0.2131020E+03   0.1564020E+03
   0.2100000E+02   21   21   0.6704070E+03   0.1849020E+03   0.1367010E+03
   0.2200000E+02   22   22   0.6005060E+03   0.1622020E+03   0.1208010E+03
   0.2300000E+02   23   23   0.7740080E+03   0.2013020E+03   0.1510020E+03
   0.2400000E+02   24   24   0.8226080E+03   0.2070020E+03   0.1562020E+03
   0.2500000E+02   25   25   0.8487080E+03   0.2113020E+03   0.1607020E+03
   0.2600000E+02   26   26   0.9035090E+03   0.2178020E+03   0.1667020E+03
   0.2700000E+02   27   27   0.8975090E+03   0.2105020E+03   0.1618020E+03
   0.2800000E+02   28   28   0.1142311E+04   0.2616030E+03   0.2017020E+03
   0.2900000E+02   29   29   0.1140011E+04   0.2555030E+03   0.1983020E+03
   0.3000000E+02   30   30   0.9639100E+03   0.2139020E+03   0.1671020E+03
32 32 32 1108.4480412726 117.6932694179 117.6932694179
37 37 37 1187.9674826845 117.2771573436 117.2771573436
42 42 42 1437.3363082601 118.2561982542 118.2561982542
47 47 47 1380.0196827833 119.8351288003 119.8351288003
52 52 52 1333.2404999850 122.2295185590 122.2295185590
57 57 57 1605.9392598124 124.5468146133 124.5468146133
62 62 62 1677.4684239225 127.6223911809 127.6223911809
67 67 67 1842.4792824052 130.8805871610 130.8805871610
72 72 72 1987.0879002064 134.4921786937 134.4921786937
77 77 77 1773.0065774720 138.3501310543 138.3501310543
82 82 82 2175.5417626213 143.1180586544 143.1180586544
87 87 87 2342.0448634133 147.4451039782 147.4451039782
92 92 92 2459.6150667139 152.4483169134 152.4483169134
97 97 97 2488.0679232317 157.3312519613 157.3312519613
104 104 104 2962.4215660940 119.6563946791 119.6563946791
113 113 113 3227.3966747225 126.4893003916 126.4893003916
122 122 122 3388.4896807228 133.7258257023 133.7258257023
131 131 131 3594.5357730009 140.7421037679 140.7421037679
140 140 140 4233.7067515280 147.4971914405 147.4971914405
149 149 149 4256.1926420651 153.3372705341 153.3372705341
158 158 158 4782.5409837521 158.7470879347 158.7470879347
167 167 167 4846.2437184459 163.5728093592 163.5728093592
176 176 176 5127.7499212821 167.0360308121 167.0360308121
185 185 185 5379.5611318989 169.2237047685 169.2237047685
194 194 194 5550.8540215014 170.2722345063 170.2722345063
203 203 203 5449.2685127150 170.1513210973 170.1513210973
212 212 212 5636.3704570421 168.5045281841 168.5045281841
221 221 221 5815.2773953188 165.4944255964 165.4944255964
230 230 230 5689.5335350895 161.3263543002 161.3263543002
239 239 239 5779.6116035804 156.2086809852 156.2086809852
248 248 248 5433.6700540609 149.9438308524 149.9438308524
257 257 257 5230.9376671262 142.5495171919 142.5495171919
266 266 266 5092.1745790042 134.9348080820 134.9348080820
275 275 275 5103.8223188947 126.5213034662 126.5213034662
284 284 284 4548.6237334268 118.0262513333 118.0262513333
293 293 293 4377.5262010887 109.1197273911 109.1197273911
302 302 302 3933.9932564121 100.3183285889 100.3183285889
311 311 311 3651.0084525296 91.6132740756 91.6132740756
320 320 320 3411.2401915640 83.2166987022 83.2166987022
329 329 329 3176.7647157845 75.3992181737 75.3992181737
338 338 338 2844.8392002333 68.0349021928 68.0349021928
347 347 347 2498.9361012200 61.4911165917 61.4911165917
356 356 356 2359.2330418503 55.5918930037 55.5918930037
365 365 365 2184.2468289425 50.5895575780 50.5895575780
374 374 374 2039.2081653415 46.4868762343 46.4868762343
383 383 383 1892.8974722609 43.1264642146 43.1264642146
392 392 392 1787.8960238624 40.7805820933 40.7805820933
401 401 401 1732.9887934315 39.1076226641 39.1076226641
410 410 410 1739.4642872541 38.1878106363 38.1878106363
419 419 419 1729.7711799536 37.9915267370 37.9915267370
428 428 428 1769.1374645755 38.3081073489 38.3081073489
437 437 437 1770.0126059035 39.0044692710 39.0044692710
446 446 446 1856.9490867788 40.0334846324 40.0334846324
455 455 455 2046.0965723266 41.3751441099 41.3751441099
464 464 464 2224.5689006697 42.8170458020 42.8170458020
473 473 473 2178.9879149518 44.1649899998 44.1649899998
482 482 482 2325.1760502696 45.4424624736 45.4424624736
491 491 491 2419.7791286073 46.6587848743 46.6587848743
500 500 500 2447.7949544184 47.7595987134 47.7595987134
509 509 509 2579.9163040560 48.4177655774 48.4177655774
